Sex,Age interval,Education level,Access to phone,Income source,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery?,Are you willing to be trained to protect the mangroves?,Are you willing to be trained in tree nursery?,Are you willing to chnage your agricultural practices to protect the mangroves?,Are you willing to adopt new culture like Moringa to protect the soil against erosion?,"For the pase 12 months, what activities did you do in the mangroves?",What do you use to do with trees that are in your garden?,What culture you practice the best?,What agricultural practices do you know?,When do you use to cut out the mangroves?,Do you use to plant trees in your gargen?,Have you already seen Moringa garden?,What can one do with the leaves or the fruit of Moringa?,Do you cultivate Moringa?,Why do you cultivate Moringa?,Are you willing to cultivate Moringa in the future?,How much space in your farm are you willing to use to cultivate Moringa?,Where would you cultivate Moringa?
Female,From 35 to 55,High school,Yes,Agriculture Other Business,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them Do not throw garbage in the mangroves,Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo) Prevent flooding Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves,Yes,Plant more mangroves Elaborate a plan with community management,Protection against flooding Provide oxygen Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,,Chop dead branches for cooking,Corn Sorgho Pigeon pea Yam Banana tree Other,Put organic fertilizer in the soil Burn the soil with the weeds Breed animals after the crops to fertilize the soil,,Yes,Yes,Human food (their leaves) Transform it to powder,Yes,Food/Vegetable,Yes,More than 1 ha,4th Section
Male,From 35 to 55,Primary school,Yes,Charcoal with woods of other trees Agriculture Animal breeding,A tree that grows in forest by the sea,No,,No,,Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo) Prevent flooding,Yes,Community over-exploitation of mangroves Absence of government/no control of mangroves exploitation,Yes,Plant more mangroves Elaborate a plan with community management,Wind breaker Provide oxygen Provide food for human and animals Protect soil agains erosion,No,Yes,Yes,Yes,Yes,,Chop dead branches for cooking,Corn Sorgho Pigeon pea Yam Other,Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,,Yes,Yes,Human food (their leaves),Yes,Food/Vegetable Other,Yes,No decision yet,4th Section
Male,From 35 to 55,High school,Yes,Agriculture Other Charcoal with woods of other trees Mason,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them Do not throw garbage in the mangroves,Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo) Prevent flooding,Yes,Community over-exploitation of mangroves Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management Plant more mangroves Organize a management committee,Provide oxygen Protect soil agains erosion Protection against flooding,No,Yes,Yes,Yes,Yes,,Chop woods to make charcoal Chop woods for construction,Corn Sorgho Pigeon pea Banana tree Yam Other Melon,Put organic fertilizer in the soil Burn the soil with the weeds Breed animals after the crops to fertilize the soil Other,,Yes,Yes,Transform it to powder Human food (their leaves),Yes,Food/Vegetable,Yes,No decision yet,
Male,From 35 to 55,High school,Yes,Agriculture Animal breeding,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Do not throw garbage in the mangroves Don't know,Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo) Prevent flooding,Yes,Community over-exploitation of mangroves Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management Plant more mangroves,Provide oxygen Protection against flooding,No,Yes,Yes,Yes,Yes,Fishing,Chop dead branches for cooking Harvest their fruits and leaves to feed animals,Corn Sorgho Pigeon pea Yam,Put organic fertilizer in the soil Burn the soil with the weeds Other Breed animals after the crops to fertilize the soil,,Yes,Yes,Human food (their leaves) Use them as medicine,Yes,Food/Vegetable,Yes,Less than 0.25 ha,Other
Female,From 35 to 55,High school,Yes,Other Business,Don't know,No,,,,Don't know,,,,,Natural medicines Provide food for human and animals,Yes,Yes,Yes,Yes,Yes,Other,Harvest their fruits and leaves as food or medicines Chop woods to make charcoal Chop dead branches for cooking,Bean (Haricot),,,Yes,Yes,Human food (their leaves) Animal food,No,,No,,
Female,Greater than 55,None,Yes,Agriculture Animal breeding Other Business,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,Yes,Plant more mangroves,Provide food for human and animals Natural medicines,Yes,Yes,Yes,Yes,Yes,,Harvest their fruits and leaves as food or medicines Other,Sorgho Corn Pigeon pea Bean (Haricot) Yam Banana tree,Grow peanuts on the mountainsides Plowing the soil Plant trees in the gardens Burn the soil with the weeds Put organic fertilizer in the soil,,Yes,Yes,Human food (their leaves),Yes,Food/Vegetable Animal food,Yes,0.25 ha,4th Section
Male,From 35 to 55,Primary school,Yes,Agriculture,A tree that grows in forest by the sea,No,,No,,Growing environment for crustaceans,Yes,Other,No,Elaborate a plan with community management,Provide food for human and animals Controle the earth temperature Wind breaker,Yes,Yes,Yes,Yes,Yes,,Harvest their fruits and leaves as food or medicines Chop dead branches for cooking Chop woods to make charcoal Chop woods for construction,Banana tree Yam Corn Bean (Haricot) Pigeon pea,Fe ranp vivan pou pwoteje te yo kon ewozyon Breed animals after the crops to fertilize the soil,,Yes,Yes,Human food (their leaves) Animal food Transform it to powder,Yes,Food/Vegetable Animal food,Yes,1 ha,Other
Male,From 25 to 35,Primary school,Yes,Agriculture Animal breeding Other,A tree that grows in forest by the sea,No,,No,,Prevent flooding Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,Yes,Plant more mangroves,Protect soil agains erosion Facilitate water filtration to the ground Provide food for human and animals Natural medicines,Yes,Yes,Yes,Yes,Yes,,Harvest their fruits and leaves as food or medicines Harvest their fruits and leaves to feed animals Chop dead branches for cooking Chop woods to make charcoal,Pigeon pea Bean (Haricot) Corn Other,Plowing the soil Fe ranp vivan pou pwoteje te yo kon ewozyon Plant trees in the gardens Put organic fertilizer in the soil,,Yes,Yes,Human food (their leaves) Animal food,Yes,Fence Food/Vegetable Animal food,Yes,1 ha,Other
Female,From 35 to 55,High school,Yes,Agriculture Other Business,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans Protect the reefs,No,,Yes,Plant more mangroves,Wind breaker Protect soil agains erosion Provide food for human and animals Natural medicines Controle the earth temperature,Yes,Yes,Yes,Yes,Yes,,Harvest their fruits and leaves as food or medicines Chop dead branches for cooking Chop woods to make charcoal,Bean (Haricot) Corn Other Pigeon pea,Plowing the soil Soil conservation with dry walls Plant trees in the gardens Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,,Yes,Yes,Human food (their leaves),Yes,Food/Vegetable,Yes,0.25 ha,Other
Male,From 35 to 55,High school,Yes,Agriculture Other,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,Yes,Educate and sensitize the population on how to exploit mangroves Use mangroves areas for bee keeping,Protect soil agains erosion Facilitate water filtration to the ground Controle the earth temperature Provide food for human and animals Other,Yes,Yes,Yes,Yes,Yes,,Harvest their fruits and leaves as food or medicines Harvest their fruits and leaves to feed animals Chop dead branches for cooking,Yam Pigeon pea Bean (Haricot),"Plante pistach, vetivè, manyòk, yanm ak lot kilti ki kew rache le wap rekolte yo oubye ou fouye te a le wap rekolte yo nan flan mòn yo Fe ranp vivan pou pwoteje te yo kon ewozyon Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil",,Yes,Yes,Other,Yes,Other Food/Vegetable,Yes,0.25 ha,Other
Female,From 35 to 55,Primary school,Yes,Agriculture Animal breeding Other Business,A tree that grows in forest by the sea,No,,,,Prevent flooding Other,Yes,Community over-exploitation of mangroves Continuous deposition of sediments in mangroves,Yes,Other Elaborate a plan with community management Organize a management committee Use mangroves areas for bee keeping Educate and sensitize the population on how to exploit mangroves Soil conservation in the mountains,Wind breaker Protect soil agains erosion Controle the earth temperature Provide oxygen,No,Yes,Yes,Yes,Yes,,Chop dead branches for cooking Harvest their fruits and leaves to feed animals Harvest their fruits and leaves as food or medicines,Banana tree Yam Pigeon pea Corn Other,Plowing the soil,,Yes,Yes,Human food (their leaves) Transform it to powder Animal food,Yes,Animal food Food/Vegetable,Yes,0.25 ha,4th Section
Male,Greater than 55,Primary school,Yes,Agriculture Animal breeding Charcoal with woods of other trees,A tree that grows in forest by the sea,No,,,,Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo) Birds habitat,Yes,Community over-exploitation of mangroves,Yes,Use mangroves areas for bee keeping Other Valorize mangroves forest with tourism Organize a management committee,Protect soil agains erosion Other Provide food for human and animals,Yes,Yes,Yes,Yes,Yes,,Harvest their fruits and leaves as food or medicines Harvest their fruits and leaves to feed animals Chop dead branches for cooking Chop woods to make charcoal,Corn Pigeon pea Bean (Haricot) Banana tree Yam Peanut,Plowing the soil Grow peanuts on the mountainsides Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil Plant trees in the gardens,,Yes,Yes,Human food (their leaves) Animal food,Yes,Animal food Food/Vegetable,Yes,0.25 ha,4th Section
